City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Fall,Snow Fall
514,Comodoro Rivadavia,AR,2020-04-20 00:15:57,-45.87,-67.5,59.0,38,0,17.22,clear sky,0.0,0.0
515,Moree,AU,2020-04-20 00:20:53,-29.47,149.85,66.2,39,84,9.17,broken clouds,0.0,0.0
516,Ulaanbaatar,MN,2020-04-20 00:18:33,47.91,106.88,17.6,61,40,4.47,scattered clouds,0.0,0.0
517,Florence,IT,2020-04-20 00:20:53,43.77,11.25,61.0,93,100,2.24,light rain,1.95,0.0
518,Itaunja,IN,2020-04-20 00:20:17,27.08,80.92,75.2,64,40,5.39,haze,0.0,0.0
519,Hovd,MN,2020-04-20 00:20:54,48.01,91.64,37.11,36,0,0.54,clear sky,0.0,0.0
520,Shingu,JP,2020-04-20 00:20:54,33.73,135.98,64.4,100,75,5.82,shower rain,0.0,0.0
521,Zyryanka,RU,2020-04-20 00:20:54,65.75,150.85,9.23,83,4,5.32,clear sky,0.0,0.0
522,Riviere-Au-Renard,CA,2020-04-20 00:20:55,49.0,-64.4,30.2,63,40,9.17,scattered clouds,0.0,0.0
523,Hokitika,NZ,2020-04-20 00:20:56,-42.72,170.97,53.92,70,93,5.5,light rain,1.29,0.0
524,La Ronge,CA,2020-04-20 00:19:18,55.1,-105.28,39.2,41,75,16.11,broken clouds,0.0,0.0
525,Sulangan,PH,2020-04-20 00:20:56,11.14,123.72,83.26,79,71,13.82,light rain,1.89,0.0
526,Tynda,RU,2020-04-20 00:20:57,55.17,124.72,18.55,76,67,14.18,broken clouds,0.0,0.0
527,Aklavik,CA,2020-04-20 00:20:57,68.22,-135.01,23.0,49,90,3.36,overcast clouds,0.0,0.0
528,Nassjo,SE,2020-04-20 00:20:57,57.65,14.7,28.4,92,50,2.24,scattered clouds,0.0,0.0
529,Nouadhibou,MR,2020-04-20 00:20:57,20.93,-17.03,66.2,77,0,23.04,sand,0.0,0.0
530,Henties Bay,NA,2020-04-20 00:16:35,-22.12,14.28,59.0,93,5,1.99,light rain,0.31,0.0
531,Yuanping,CN,2020-04-20 00:20:58,38.72,112.76,45.93,33,0,15.64,clear sky,0.0,0.0
532,Pascagoula,US,2020-04-20 00:20:58,30.37,-88.56,77.0,78,75,5.82,broken clouds,0.0,0.0
533,Porto Novo,BJ,2020-04-20 00:20:58,6.5,2.6,82.26,77,98,8.88,overcast clouds,0.0,0.0
534,Plettenberg Bay,ZA,2020-04-20 00:20:59,-34.05,23.37,66.9,59,0,4.85,clear sky,0.0,0.0
535,Vila,PT,2020-04-20 00:20:59,42.03,-8.16,50.0,93,40,2.24,scattered clouds,0.0,0.0
536,Arman,RU,2020-04-20 00:20:59,59.7,150.17,11.35,82,0,7.0,clear sky,0.0,0.0
537,Hami,CN,2020-04-20 00:20:59,42.8,93.45,57.22,21,98,6.22,overcast clouds,0.0,0.0
538,Valera,VE,2020-04-20 00:21:00,9.32,-70.6,76.68,63,91,0.98,moderate rain,3.45,0.0
539,Carballo,ES,2020-04-20 00:21:00,43.21,-8.69,53.01,89,52,1.01,broken clouds,0.0,0.0
540,Dandong,CN,2020-04-20 00:21:00,40.13,124.39,47.08,92,100,14.54,moderate rain,4.35,0.0
541,Lichuan,CN,2020-04-20 00:19:08,30.3,108.85,53.38,68,99,2.89,moderate rain,8.26,0.0
542,Araouane,ML,2020-04-20 00:21:01,18.9,-3.53,84.16,20,0,14.72,clear sky,0.0,0.0
543,Sept-Iles,CA,2020-04-20 00:21:01,50.2,-66.38,32.0,97,90,13.87,overcast clouds,0.0,0.0
544,Kailua,US,2020-04-20 00:21:01,21.4,-157.74,84.2,51,1,6.93,clear sky,0.0,0.0
545,Seddon,AU,2020-04-20 00:21:02,-37.81,144.89,66.0,59,75,23.04,broken clouds,0.0,0.0
546,Port Blair,IN,2020-04-20 00:20:52,11.67,92.75,83.32,77,11,6.38,few clouds,0.0,0.0
547,Te Anau,NZ,2020-04-20 00:21:02,-45.42,167.72,51.75,57,58,7.76,light rain,0.16,0.0
548,Tonj,SS,2020-04-20 00:17:07,7.27,28.68,76.77,57,100,7.92,overcast clouds,0.0,0.0
549,Sorland,NO,2020-04-20 00:21:03,67.67,12.69,40.82,94,100,19.01,light rain,0.45,0.0
550,Westport,US,2020-04-20 00:20:03,41.14,-73.36,55.99,66,1,19.46,clear sky,0.0,0.0
551,Belmonte,BR,2020-04-20 00:19:16,-15.86,-38.88,77.0,73,90,10.29,overcast clouds,0.0,0.0
552,Erzurum,TR,2020-04-20 00:21:04,40.0,41.5,35.6,40,75,3.36,broken clouds,0.0,0.0
553,Iracoubo,GF,2020-04-20 00:21:05,5.48,-53.2,79.3,86,100,14.99,moderate rain,3.47,0.0
554,Lorengau,PG,2020-04-20 00:21:05,-2.02,147.27,84.47,75,46,7.65,light rain,0.34,0.0
555,Aykhal,RU,2020-04-20 00:21:05,66.0,111.5,24.8,35,2,4.47,clear sky,0.0,0.0
556,Pietersburg,ZA,2020-04-20 00:20:06,-23.9,29.47,57.2,82,6,2.21,clear sky,0.0,0.0
557,Hobyo,SO,2020-04-20 00:20:01,5.35,48.53,84.02,74,100,9.66,overcast clouds,0.0,0.0
558,Isetskoye,RU,2020-04-20 00:21:06,56.49,65.32,39.16,70,20,5.97,few clouds,0.0,0.0
559,Waikuku,NZ,2020-04-20 00:21:07,-43.3,172.68,66.0,36,25,13.87,scattered clouds,0.0,0.0
560,Matara,LK,2020-04-20 00:21:07,5.95,80.54,77.85,90,20,7.0,few clouds,0.0,0.0
561,Kushmurun,KZ,2020-04-20 00:21:07,52.45,64.63,48.02,68,100,7.34,overcast clouds,0.0,0.0
562,Chapais,CA,2020-04-20 00:20:50,49.78,-74.85,15.8,56,40,10.29,scattered clouds,0.0,0.0
563,Kendari,ID,2020-04-20 00:21:08,-3.94,122.5,80.46,80,48,2.91,scattered clouds,0.0,0.0
564,Ahuimanu,US,2020-04-20 00:21:08,21.44,-157.84,84.2,51,1,6.93,clear sky,0.0,0.0
565,Sarakhs,IR,2020-04-20 00:21:08,36.54,61.16,55.4,82,0,4.7,clear sky,0.0,0.0
566,San Quintin,MX,2020-04-20 00:21:08,30.48,-115.95,62.33,66,87,18.21,overcast clouds,0.0,0.0
567,Conde,BR,2020-04-20 00:21:09,-7.26,-34.91,78.8,88,8,3.36,light rain,2.03,0.0
568,Acarau,BR,2020-04-20 00:16:34,-2.89,-40.12,77.36,87,28,3.53,light rain,0.56,0.0
569,Yarada,IN,2020-04-20 00:21:10,17.65,83.27,80.6,88,20,2.24,mist,0.0,0.0
570,Puerto Escondido,MX,2020-04-20 00:20:01,15.85,-97.07,84.2,83,5,5.82,clear sky,0.0,0.0
571,Neyshabur,IR,2020-04-20 00:21:11,36.21,58.8,55.02,37,7,1.81,clear sky,0.0,0.0
572,Husavik,IS,2020-04-20 00:12:49,66.04,-17.34,44.6,70,20,27.51,few clouds,0.0,0.0
573,Anantapur,IN,2020-04-20 00:21:13,14.68,77.6,77.7,54,30,5.08,scattered clouds,0.0,0.0
574,Adrar,MR,2020-04-20 00:21:13,20.5,-10.07,75.76,18,0,6.55,clear sky,0.0,0.0
575,Kundiawa,PG,2020-04-20 00:21:13,-6.02,144.97,74.12,42,89,2.73,light rain,1.22,0.0
576,Elk River,US,2020-04-20 00:21:13,45.3,-93.57,48.99,31,15,1.99,few clouds,0.0,0.0
577,Aksarayskiy,RU,2020-04-20 00:21:14,46.79,48.01,51.8,66,85,6.71,overcast clouds,0.0,0.0
578,Chumikan,RU,2020-04-20 00:21:14,54.72,135.31,23.67,95,100,17.11,snow,0.0,2.6
579,Zhezkazgan,KZ,2020-04-20 00:21:14,47.8,67.71,46.4,61,75,6.71,broken clouds,0.0,0.0
580,Mayumba,GA,2020-04-20 00:20:38,-3.43,10.66,79.09,85,90,12.33,moderate rain,4.28,0.0
581,Almeirim,BR,2020-04-20 00:21:15,-1.52,-52.58,74.89,96,100,5.26,moderate rain,4.87,0.0
582,Birjand,IR,2020-04-20 00:21:15,32.87,59.22,50.0,76,0,4.7,clear sky,0.0,0.0
