City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Kalianget,ID,2020-04-18 23:06:59,-7.05,113.93,82.69,75,70,2.84
247,Bartica,GY,2020-04-18 23:06:59,6.4,-58.62,82.4,78,20,11.41
248,Kiunga,PG,2020-04-18 23:06:59,-6.12,141.29,78.48,88,99,0.47
249,Togul,RU,2020-04-18 23:06:59,53.47,85.91,37.83,72,0,7.7
250,Kincardine,GB,2020-04-18 23:06:59,56.07,-3.72,41.0,87,0,1.01
251,Kirakira,SB,2020-04-18 23:06:14,-10.45,161.92,85.03,67,99,1.3
252,Zhurivka,UA,2020-04-18 23:07:00,50.5,31.78,35.6,59,97,2.24
253,Rzhaksa,RU,2020-04-18 23:07:00,52.13,42.03,34.39,81,18,7.23
254,Presidencia Roque Saenz Pena,AR,2020-04-18 23:07:00,-26.79,-60.44,66.11,57,0,4.12
255,Laguna,US,2020-04-18 23:03:03,38.42,-121.42,70.0,48,1,10.29
256,Takoradi,GH,2020-04-18 23:04:31,4.88,-1.76,80.42,86,47,7.07
257,Manaquiri,BR,2020-04-18 23:07:01,-3.32,-60.35,77.0,88,75,3.36
258,Kirovskiy,RU,2020-04-18 23:07:01,45.09,133.51,55.45,49,1,5.99
259,Lompoc,US,2020-04-18 22:57:38,34.64,-120.46,60.8,59,90,14.99
260,Guangyuan,CN,2020-04-18 23:07:02,32.44,105.82,39.99,85,17,3.69
261,Neyshabur,IR,2020-04-18 23:07:02,36.21,58.8,53.02,39,38,5.3
262,Buala,SB,2020-04-18 23:03:35,-8.14,159.59,83.89,71,72,2.86
263,Port Hedland,AU,2020-04-18 23:07:02,-20.32,118.57,75.2,100,85,4.7
264,Nefteyugansk,RU,2020-04-18 23:07:02,61.1,72.6,48.2,61,89,8.95
265,Tuy Hoa,VN,2020-04-18 23:07:03,13.08,109.3,79.38,79,89,4.36
266,Altea,ES,2020-04-18 23:07:03,38.6,-0.05,59.0,96,100,14.0
267,Boende,CD,2020-04-18 23:07:03,-0.22,20.87,71.22,86,98,1.86
268,Kikwit,CD,2020-04-18 23:04:19,-5.04,18.82,71.33,81,97,2.37
269,Dunedin,NZ,2020-04-18 22:59:49,-45.87,170.5,59.0,51,72,1.01
270,Port-Cartier,CA,2020-04-18 23:01:00,50.03,-66.87,33.01,95,75,13.87
271,Skeldon,GY,2020-04-18 23:07:04,5.88,-57.13,79.3,84,37,9.57
272,Cherskiy,RU,2020-04-18 23:07:04,68.75,161.3,7.32,88,22,8.97
273,Ambilobe,MG,2020-04-18 23:05:17,-13.2,49.05,70.66,84,40,4.03
274,Victor Harbor,AU,2020-04-18 22:58:04,-35.57,138.62,55.0,100,59,6.78
275,Hervey Bay,AU,2020-04-18 22:57:24,-25.3,152.85,75.0,94,75,6.11
276,Seoul,KR,2020-04-18 23:02:17,37.57,126.98,55.4,71,90,7.0
277,Ayan,RU,2020-04-18 23:07:05,56.45,138.17,19.2,83,97,7.11
278,Pangoa,PE,2020-04-18 23:07:05,-12.12,-73.0,68.22,64,5,1.28
279,Birpur,IN,2020-04-18 23:07:06,26.52,87.02,77.23,51,16,9.08
280,Kaeo,NZ,2020-04-18 23:04:23,-35.1,173.78,68.0,93,91,5.01
281,Lorengau,PG,2020-04-18 23:00:36,-2.02,147.27,84.83,69,10,2.62
282,Ponta Delgada,PT,2020-04-18 23:01:09,37.73,-25.67,62.6,93,75,14.99
283,Ostersund,SE,2020-04-18 23:05:17,63.18,14.64,36.0,80,7,11.41
284,Ostrovnoy,RU,2020-04-18 23:03:25,68.05,39.51,31.75,98,98,9.89
285,Parakai,NZ,2020-04-18 23:07:08,-36.65,174.43,66.99,87,91,4.0
286,Tual,ID,2020-04-18 23:07:08,-5.67,132.75,84.04,75,98,8.05
287,Sicamous,CA,2020-04-18 23:04:20,50.83,-118.99,55.17,54,62,4.07
288,Narrabri,AU,2020-04-18 23:07:08,-30.32,149.78,57.0,71,0,4.7
289,Oksbol,DK,2020-04-18 23:07:08,55.63,8.29,39.2,64,0,5.82
290,Bethel,US,2020-04-18 22:55:12,41.37,-73.41,42.8,82,90,12.75
291,New Haven,US,2020-04-18 23:03:28,41.31,-72.93,44.01,86,75,8.99
292,Pustoshka,RU,2020-04-18 23:07:09,56.34,29.37,34.05,85,100,9.37
293,Hohhot,CN,2020-04-18 23:07:09,40.81,111.65,42.8,87,20,8.95
294,Ahipara,NZ,2020-04-18 22:59:08,-35.17,173.17,67.3,74,91,9.64
295,Vao,NC,2020-04-18 23:07:10,-22.67,167.48,76.46,68,48,9.55
296,Nuevo Progreso,MX,2020-04-18 23:07:10,23.17,-97.95,84.0,65,57,5.01
297,Yuci,CN,2020-04-18 23:07:10,37.68,112.73,44.6,87,40,4.47
298,Port-Gentil,GA,2020-04-18 23:03:46,-0.72,8.78,81.61,85,66,10.07
299,Esil,KZ,2020-04-18 23:07:11,51.96,66.4,49.3,70,98,9.57
300,Carutapera,BR,2020-04-18 23:03:04,-1.2,-46.02,79.18,84,91,5.48
301,Pasaco,GT,2020-04-18 23:07:11,13.98,-90.21,96.8,20,40,2.24
302,Cabedelo,BR,2020-04-18 23:07:11,-6.98,-34.83,80.6,88,20,4.18
303,Opuwo,NA,2020-04-18 23:07:12,-18.06,13.84,70.02,42,58,5.17
304,Wanaka,NZ,2020-04-18 23:05:08,-44.7,169.15,47.59,62,84,8.23
